time (s),freq(clip(vtime("tran" "/OUT" nil ) 50n 100n ) "rising" ?xName "time" ?mode "user" ?threshold -0.06) (Hz)
91.92E-9,15.87E9
91.99E-9,15.88E9
92.05E-9,15.87E9
92.11E-9,15.88E9
92.17E-9,15.87E9
92.24E-9,15.88E9
92.30E-9,15.88E9
92.36E-9,15.87E9
92.43E-9,15.88E9
92.49E-9,15.88E9
92.55E-9,15.88E9
92.62E-9,15.87E9
92.68E-9,15.88E9
92.74E-9,15.88E9
92.80E-9,15.88E9
92.87E-9,15.88E9
92.93E-9,15.87E9
92.99E-9,15.88E9
93.06E-9,15.88E9
93.12E-9,15.88E9
93.18E-9,15.87E9
93.25E-9,15.87E9
93.31E-9,15.87E9
93.37E-9,15.88E9
93.43E-9,15.87E9
93.50E-9,15.88E9
93.56E-9,15.87E9
93.62E-9,15.87E9
93.69E-9,15.87E9
93.75E-9,15.88E9
93.81E-9,15.87E9
93.88E-9,15.87E9
93.94E-9,15.86E9
94.00E-9,15.87E9
94.06E-9,15.87E9
94.13E-9,15.87E9
94.19E-9,15.86E9
94.25E-9,15.86E9
94.32E-9,15.87E9
94.38E-9,15.86E9
94.44E-9,15.87E9
94.51E-9,15.87E9
94.57E-9,15.87E9
94.63E-9,15.87E9
94.69E-9,15.87E9
94.76E-9,15.87E9
94.82E-9,15.87E9
94.88E-9,15.87E9
94.95E-9,15.86E9
95.01E-9,15.86E9
95.07E-9,15.87E9
95.14E-9,15.86E9
95.20E-9,15.87E9
95.26E-9,15.87E9
95.32E-9,15.87E9
95.39E-9,15.86E9
95.45E-9,15.86E9
95.51E-9,15.86E9
95.58E-9,15.86E9
95.64E-9,15.86E9
95.70E-9,15.86E9
95.77E-9,15.86E9
95.83E-9,15.87E9
95.89E-9,15.87E9
95.96E-9,15.87E9
96.02E-9,15.88E9
96.08E-9,15.87E9
96.14E-9,15.87E9
96.21E-9,15.88E9
96.27E-9,15.87E9
96.33E-9,15.87E9
96.40E-9,15.87E9
96.46E-9,15.87E9
96.52E-9,15.88E9
96.59E-9,15.88E9
96.65E-9,15.88E9
96.71E-9,15.87E9
96.77E-9,15.88E9
96.84E-9,15.88E9
96.90E-9,15.88E9
96.96E-9,15.88E9
97.03E-9,15.87E9
97.09E-9,15.89E9
97.15E-9,15.87E9
97.21E-9,15.87E9
97.28E-9,15.88E9
97.34E-9,15.88E9
97.40E-9,15.87E9
97.47E-9,15.89E9
97.53E-9,15.87E9
97.59E-9,15.88E9
97.66E-9,15.88E9
97.72E-9,15.87E9
97.78E-9,15.88E9
97.84E-9,15.88E9
97.91E-9,15.88E9
97.97E-9,15.88E9
98.03E-9,15.88E9
98.10E-9,15.88E9
98.16E-9,15.88E9
98.22E-9,15.88E9
98.29E-9,15.88E9
98.35E-9,15.88E9
98.41E-9,15.88E9
98.47E-9,15.88E9
98.54E-9,15.87E9
98.60E-9,15.87E9
98.66E-9,15.87E9
98.73E-9,15.87E9
98.79E-9,15.87E9
98.85E-9,15.87E9
98.92E-9,15.86E9
98.98E-9,15.86E9
99.04E-9,15.87E9
99.10E-9,15.87E9
99.17E-9,15.87E9
99.23E-9,15.86E9
99.29E-9,15.87E9
99.36E-9,15.87E9
99.42E-9,15.86E9
99.48E-9,15.87E9
99.55E-9,15.87E9
99.61E-9,15.87E9
99.67E-9,15.87E9
99.73E-9,15.88E9
99.80E-9,15.88E9
99.86E-9,15.87E9
99.92E-9,15.88E9
